"new_url","new_path","status","current_location","canonical","title","h1","raw_title","raw_h1","type","product_or_category_name","public_code","public_one_c_name","public_one_c_code","category","subcategory","facet","source","metadata_basis"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00003399","/product/%D0%9D%D0%A4-00003399","200","","","Салфетка микрофибра для стекол гладкая 30х30 голубая 270гр/м2","Салфетка микрофибра для стекол гладкая 30х30 голубая 270гр/м2","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Салфетка микрофибра для стекол гладкая 30х30 голубая 270гр/м2","НФ-00003399","Салфетка микрофибра ДЛЯ СТЕКОЛ гладкая 30х30 голубая 270гр/м2","НФ-00003399","Химия, чистящие средства","Для окон","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00000117","/product/%D0%9D%D0%A4-00000117","200","","","Салфетка из микрофибры 30 см х 30 см черная","Салфетка из микрофибры 30 см х 30 см черная","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Салфетка из микрофибры 30 см х 30 см черная","НФ-00000117","Салфетка из микрофибры 30 см х 30 см ЧЕРНАЯ (50)","НФ-00000117","Хозяйственные товары","Тряпки, МОПы, полотенца","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00003203","/product/%D0%9D%D0%A4-00003203","200","","","Салфетка из микрофибры 30 см х 30 см красная","Салфетка из микрофибры 30 см х 30 см красная","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Салфетка из микрофибры 30 см х 30 см красная","НФ-00003203","Салфетка из микрофибры 30 см х 30 см КРАСНАЯ (50)","НФ-00003203","Хозяйственные товары","Тряпки, МОПы, полотенца","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00003204","/product/%D0%9D%D0%A4-00003204","200","","","Салфетка из микрофибры 30 см х 30 см зеленая","Салфетка из микрофибры 30 см х 30 см зеленая","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Салфетка из микрофибры 30 см х 30 см зеленая","НФ-00003204","Салфетка из микрофибры 30 см х 30 см ЗЕЛЕНАЯ (50)","НФ-00003204","Хозяйственные товары","Тряпки, МОПы, полотенца","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00003205","/product/%D0%9D%D0%A4-00003205","200","","","Салфетка из микрофибры 30 см х 30 см желтая","Салфетка из микрофибры 30 см х 30 см желтая","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Салфетка из микрофибры 30 см х 30 см желтая","НФ-00003205","Салфетка из микрофибры 30 см х 30 см ЖЕЛТАЯ (50)","НФ-00003205","Хозяйственные товары","Тряпки, МОПы, полотенца","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00000118","/product/%D0%9D%D0%A4-00000118","200","","","Салфетка вискозная 30х30 3шт","Салфетка вискозная 30х30 3шт","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Салфетка вискозная 30х30 3шт","НФ-00000118","Салфетка вискозная 30х30 (3шт)","НФ-00000118","Хозяйственные товары","Тряпки, мопы, полотенца","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00003139","/product/%D0%9D%D0%A4-00003139","200","","","Ручной ПАД 90 мм х 155 мм зеленый 6шт","Ручной ПАД 90 мм х 155 мм зеленый 6шт","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Ручной ПАД 90 мм х 155 мм зеленый 6шт","НФ-00003139","Ручной ПАД 90 мм х 155 мм зеленый (6шт)","НФ-00003139","Хозяйственные товары","Губки для посуды","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00001038","/product/%D0%9D%D0%A4-00001038","200","","","Ручной ПАД 120 мм х 250 мм черный","Ручной ПАД 120 мм х 250 мм черный","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Ручной ПАД 120 мм х 250 мм черный","НФ-00001038","Ручной ПАД 120 мм х 250 мм зеленый/черный (1шт)","НФ-00001038","Хозяйственные товары","Губки для посуды","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00000162","/product/%D0%9D%D0%A4-00000162","200","","","Ручка шариковая синяя масляная Workmate 0,5 мм","Ручка шариковая синяя масляная Workmate 0,5 мм","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Ручка шариковая синяя масляная Workmate 0,5 мм","НФ-00000162","Ручка шариковая синяя масляная Workmate 0,5 мм (50)","НФ-00000162","Канцелярские товары","","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00003043","/product/%D0%9D%D0%A4-00003043","200","","","Ручка шариковая синяя STAFF","Ручка шариковая синяя STAFF","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Ручка шариковая синяя STAFF","НФ-00003043","Ручка шариковая синяя STAFF (12)","НФ-00003043","Канцелярские товары","","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00001940","/product/%D0%9D%D0%A4-00001940","200","","","Рулонные полотенца белые 1-сл. ЦВ PRO C194 120м","Рулонные полотенца белые 1-сл. ЦВ PRO C194 120м","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Рулонные полотенца белые 1-сл. ЦВ PRO C194 120м","НФ-00001940","Рулонные полотенца белые 1-сл. ЦВ Prottisue С194 120м (12)","НФ-00001940","Бумажная продукция","Бумажные полотенца","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00002513","/product/%D0%9D%D0%A4-00002513","200","","","Ролик для чистки одежды 20л","Ролик для чистки одежды 20л","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Ролик для чистки одежды 20л","НФ-00002513","Ролик для чистки одежды 20 листов","НФ-00002513","Хозяйственные товары","Прочее","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00000372","/product/%D0%9D%D0%A4-00000372","200","","","Ресторанный счет","Ресторанный счет","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Ресторанный счет","НФ-00000372","Ресторанный счет (80)","НФ-00000372","Канцелярские товары","","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
